XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,20000,FALSE,1024,5318.111716
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,10,50,FALSE,30000,TRUE,1024,5321.885367
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,75,50,200,FALSE,10000,FALSE,2048,5326.704545
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,500,100,200,TRUE,30000,TRUE,1024,5332.669712
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,500,10,100,FALSE,20000,TRUE,2048,5347.498262
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,100,100,FALSE,10000,TRUE,1024,5347.784235
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,50,200,FALSE,10000,FALSE,1024,5353.319058
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,250,100,100,TRUE,10000,TRUE,1024,5360.205832
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,500,100,200,TRUE,20000,FALSE,2048,5365.574474
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,10,200,TRUE,10000,FALSE,1024,5369.319707
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,50,100,FALSE,10000,TRUE,1024,5376.440438
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,500,100,50,TRUE,10000,FALSE,1024,5384.063173
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,250,10,50,FALSE,30000,FALSE,1024,5394.907208
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,250,50,100,TRUE,10000,TRUE,2048,5413.501272
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,10,50,FALSE,30000,FALSE,2048,5427.702996
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,75,50,50,TRUE,20000,FALSE,1024,5515.010019
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,200,FALSE,30000,FALSE,2048,5528.629084
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,100,250,50,100,TRUE,10000,FALSE,2048,5528.832863
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,10,100,FALSE,20000,FALSE,2048,5550.62167
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,10,50,FALSE,20000,TRUE,2048,5555.761324
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,100,200,TRUE,20000,FALSE,1024,5583.369005
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,500,10,100,TRUE,30000,FALSE,2048,5584.720206
128,128,256,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,10,100,FALSE,10000,FALSE,2048,5587.216449
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,50,200,TRUE,30000,FALSE,2048,5587.320507
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,10,100,FALSE,20000,FALSE,1024,5606.53348
64,128,256,org.apache.coyote.http11.Http11Protocol,8192,200,50,250,100,100,TRUE,30000,FALSE,1024,5635.601976
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,25,500,50,200,FALSE,10000,FALSE,2048,5662.621039
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,250,50,100,TRUE,30000,TRUE,2048,5682.679194
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,100,200,FALSE,20000,FALSE,2048,5691.41166
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,500,100,200,TRUE,20000,FALSE,1024,5700.279314
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,75,50,50,FALSE,10000,FALSE,1024,5706.351169
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,10,50,TRUE,20000,TRUE,1024,5721.369314
128,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,500,50,50,TRUE,10000,FALSE,1024,5734.931468
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,10,50,FALSE,10000,FALSE,2048,5745.035332
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,200,100,250,50,100,TRUE,20000,FALSE,1024,5750.32106
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,100,50,FALSE,20000,FALSE,1024,5765.350245
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,50,100,FALSE,20000,FALSE,1024,5778.899312
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,10,100,TRUE,30000,TRUE,2048,5796.205418
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,50,200,FALSE,20000,FALSE,1024,5806.863713
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,50,100,FALSE,10000,TRUE,2048,5806.976114
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,25,500,100,200,TRUE,30000,TRUE,2048,5820.157144
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,100,200,TRUE,20000,TRUE,2048,5822.077317
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,25,500,100,100,FALSE,10000,TRUE,2048,5829.883985
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,250,100,50,TRUE,10000,FALSE,1024,5830.337188
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,50,50,TRUE,10000,TRUE,2048,5837.257267
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,250,100,50,TRUE,20000,TRUE,2048,5838.961443
